icao24;typecode
45e0ce;GLID
3f3726;BALL
a209ef;F2EX
731a27;F100
406035;EUPA
71c279;A321
404235;CH60
40551e;GLID
a16621;CL30
40371e;CH60
a96736;T6
3d0709;BU31
896374;A332
7043c2;B190
ad01ab;B737
a6f367;PC12
404ec8;PNR2
4a95b7;P28A
a3e02c;C680
a27dbc;H25B
40679a;M108
a34169;B734
3d1da7;RV4
a9b3e6;R44
a4ae9b;BE40
a509c9;H269
3b9b5c;FA50
405d19;GLID
500063;E35L
403c69;ULAC
750249;LJ35
44080b;C172
3d43c6;M20P
c00d64;B06
a64e2f;FA50
ae29fe;B737
395e43;BALL
14100f;EC20
484ab3;DA42
4591d4;C172
381aaf;BE35
406288;CRUZ
404943;MCR1
7c33d3;C172
ad563d;B737
34418d;AT72
343697;E195
c077b0;R66
3e5c86;RF5
c2af27;C130
48494c;DG1T
a29913;R44
add6a7;LJ60
384967;DR30
ac1099;EC35
498473;L159
4052d4;ULAC
a5c8df;B47G
4034d4;RENE
4b0616;C172
a590d7;DHC2
70c07b;A320
394979;FA10
4840df;B744
4b1814;A20N
43c275;H64
a221f8;C170
a05251;T6
aa1c7b;ST75
390c32;TAMP
3ee67f;GLID
44026b;SF25
78087c;A320
3ef87d;GLID
a320fe;WW24
3ee594;GLID
86ce8f;DH8B
76cd93;A320
ac8871;H269
a8d3af;PC12
49d231;R44
06a1a0;A139
3e72f1;AS22
a61497;C25B
4ad9c6;MT
404fb8;ULAC
a3520a;G450
40688a;A320
46151c;H500
391818;P28A
7bb07a;B737
3efd9c;GLID
a42b90;H269
7c43f8;R44
090060;B737
4ab569;AT76
780825;B738
458683;C172
adfc93;BE40
a320a7;BE30
3ee51c;GLID
3e6459;SF25
c000c8;B212
a42dc6;SR20
a174e7;H25B
00aa1a;R22
0a4048;LYNX
3ff045;C42
a8f47c;B06
401ba7;C172
ad5046;C208
3e02e0;EC20
71c284;B772
c033f4;B407
a55588;ST75
3954d5;AS65
4241e5;G450
89646a;B738
a53788;EC35
3d2514;J3
a67f9b;PC12
a065a0;LJ45
ad3ed9;T6
aa3ae1;ST75
404ed3;R44
4b8a08;BALL
ac3f46;FA7X
4b1308;AS02
7c1521;AS50
0aa004;G550
6831f3;C295
a3f708;C206
aaf996;C560
3420cb;A320
3d1db2;AA5
c07243;B212
392931;PA44
abf670;WW24
ae1b82;F18
a86058;A139
3b77ce;CN35
a42841;EC35
402a76;ULAC
401f5f;BALL
3de75d;B06
a7492d;C414
4ad96b;EV97
3ef286;NIMB
3ee76f;GLID
3920c4;C172
750254;A333
3d43d1;CP10
382131;CP30
4b1982;CL65
7c7757;DC3
a6da9c;S76
484f87;ULAC
4056fd;GLID
a3a21b;H25B
39be79;BALL
3869ff;GRND
400fab;C42
49d321;C152
7810d1;B738
50818f;BE9L
aab387;G200
7805ba;A321
1463ff;MI8
a0cf44;B350
3feff1;CDUS
e84049;A320
4b43c3;EC45
ab5f87;B738
800215;AN32
3e7a91;DG40
3f05d4;GLID
401f08;P28R
a2954e;R66
3e5c91;SF25
a7ceb6;CL60
78020d;B738
a31ca6;C501
3d3539;C172
3ef20e;GLID
a96c14;G650
3ee718;GLID
a163d9;R44
394984;BALL
aceaf9;C182
a217f8;H900
4853f4;E75L
3eebb8;GLID
4038a6;ULAC
4ab2a7;SR20
780db5;B738
a49516;AS50
3ef994;GLID
c052e4;AS55
3feabe;FK9
a10587;GLF2
403249;ULAC
3f3dac;BALL
a2f50a;L39
89655a;A388
484195;C56X
3efa09;GLID
403dc5;COZY
a36e5c;AS50
406dc3;ULAC
404fc3;VENT
3d2aa4;HR20
a91a03;A306
395423;BALL
393623;BALL
7c44ee;EC25
a88c55;PC12
394821;DR40
4404d8;C510
3ee633;GLID
5081f5;KA32
40100a;DH8D
780830;A320
484e2a;LNC2
c000d3;S76
4063ef;ULAC
a97020;B737
0a4053;B190
3921b4;P32R
4058f9;GLID
4045ef;ULAC
ae18fb;A10
3da9a7;MC10
ab8fca;R44
39b00f;BALL
3d32ce;RV7
3e5ded;AS26
401bb2;C172
ad633a;MD83
3d27d8;DR40
3ed1c4;ARCP
a01c1a;C25M
3e24b2;FOUG
ae129e;C130
473b34;ALO2
adfedf;K35R
45e27a;GLID
4b4c4e;GLID
4ca1b8;B738
383864;RALL
4b8a13;BALL
4041d1;RV6
4b1313;AS02
a491c0;BE40
a08d93;UH12
4aaea6;DR40
3fea84;EV97
4403f3;GLID
405b6a;A319
403d6a;DHC1
8a0320;A320
3ef37c;GLID
a0faf3;A321
3d1f53;C150
4d2109;SIRA
440839;E35L
79800d;A306
aa0602;LJ45
403339;AA5
00bb56;T6
383d8e;RALL
a753d5;BE20
a60394;P46T
a0f98c;A4
c00434;R44
acd3e7;B47G
392515;BALL
a7e145;E145
acf0db;B738
484be0;GLID
49560f;ULAC
a7c345;G550
a8db5a;E55P
3d4939;DV20
3d362f;DV20
4aa921;AS65
401f13;UNDEFINED
a5b128;TBM7
ad43db;MD90
ab1890;B739
503d24;B734
c01ad2;C550
aaf0bc;H900
a7bcce;P46T
3e7156;DG80
3ee723;GLID
a982f9;R22
7c083c;P28A
780eab;B738
780dc0;A333
c03c0c;E55P
3febd5;DV1
ae1162;C30J
a694c6;C25B
a689af;T34P
a17440;KODI
392102;BALL
40453d;C172
3a2c6b;R44
ae0560;C5M
3944e9;A319
3926e9;TOBA
4b489d;GLID
14f123;A148
a25652;B25
e0d64a;UH12
49e548;Z37T
3d141c;P28A
3d79f4;PC6T
a77d88;TBM7
7c0d87;H269
a3e605;PA46
a70688;ST75
adce2f;AS50
a35238;C25A
3ee8f7;GLID
449988;P28R
a955cf;H25B
aae4e1;BE18
c06dd3;GL5T
49d0d9;C172
3e655a;DISC
86dd88;DH8D
a188f2;C56X
3829a0;WA40
44d103;B744
ac8577;A321
4063fa;C42
04001d;B763
3d28ce;C82R
391e64;DV20
4b293a;P28A
ab40f8;A333
a05881;R44
3d27e3;P28A
c0101a;B733
ac9ec5;B407
a8dd56;UH1
403962;GYRO
0c2061;B738
c00aaf;DHC2
7c74a0;C172
a6beb8;FA62
3ff3a8;ULAC
a5bf25;DC3
0d0273;B737
4063a3;ULAC
4007de;SF34
382c29;RALL
c81cd7;BABY
4ba347;A139
4045a3;RALL
acc733;C550
a0f31d;GL6T
a0d26d;C560
424758;B739
aba8a7;TBM8
e491b3;E314
a16332;B350
ae1252;B737
40342f;P28A
38d05b;CP65
ab7e0a;LJ36
a96447;G450
a032a8;E45X
3950cf;A318
c024f8;AS50
3e757f;ARCP
a9813b;LJ45
aaadb4;C510
a1fed7;P180
a69c66;C25B
402dd9;DH82
400fd9;JAB4
7810de;B738
a65814;B212
7805e8;A320
403fd7;P28A
402ccd;BALL
ab46fa;T6
390470;PA25
3ef5e9;GLID
a857b9;VALI
3ee2df;GLID
a7e150;C212
384ae6;RALL
3de09c;EC35
3d4944;PTS2
3d2894;P28A
a4243b;B733
adf4bf;C750
a7cfe3;A320
3e7161;DISC
aae5d1;B06
4070ec;B738
4065f6;SR22
acd47c;A139
a8daeb;R44
3d40d7;C206
140b70;AN2
c08475;C172
4b1938;A321
3d22d7;MCR1
a2cf19;EN28
4b4936;GLID
ad9e7c;LJ31
7281f5;TEX2
a7df1f;TBM7
3d34d5;C172
393d54;C152
3e5ff4;DG50
3fd54d;BALL
a96bb0;PAY3
a50aed;R44
3febe0;DV1
404199;ULAC
405852;GLID
a338db;BE9L
3eed64;G102
ad5eca;C208
44e836;GLID
3d1533;C72R
470d48;B734
a051ef;GLEX
48465d;BALL
449be5;ULAC
e48f9f;KC39
43c5e3;A400
3d0931;DR40
e0644f;EN48
7c0d92;R44
7c5e40;B06
4031e5;P28A
3ee9ed;GLID
a09e57;A139
00aeeb;R44
8960ca;B77W
a973da;AS50
a955da;B350
7c1abe;F100
3d2c50;DR40
49d0e4;R44
78058d;B738
3ef58e;GLID
385d95;RALL
a96f94;C25A
ac8582;B737
43ebbd;CL61
a86df1;PC12
7c4976;B06
404cc9;SKRA
e48e3c;AT76
c818ae;R44
3b763e;AJET
c06b48;R44
402ec9;CH7A
ade96e;B752
0094c7;B06
40659b;B06
391529;P28A
ad1c16;B712
40479b;YK52
392727;DR40
78102c;B738
780536;MA60
c81dcd;EC30
a80909;E75S
3ee22d;GLID
3fef4c;SAVG
382c34;RALL
4b431e;R44
424763;FA7X
149ef5;AN2
3e6bda;SF25
406d96;DH8D
a8906e;B47G
aba8b2;TBM8
40523a;BALL
c07eee;B737
404744;ULAC
402944;C172
3d170e;C172
ae290d;H60
ae006a;T38
a062b1;BE9T
c075b1;EC30
440966;DV20
