T_UPDATE;FLIGHT_ID;RUNWAY;TIME;GATE;STACK
5-8-2019 07:50;20454190;21;5-8-2019 07:33;;null
5-8-2019 07:50;20454126;18R;5-8-2019 07:34;F06;RIVER
5-8-2019 07:20;20454145;27;5-8-2019 07:35;;null
5-8-2019 07:50;20454111;18R;5-8-2019 07:36;C10;ARTIP
5-8-2019 06:35;20454487;;5-8-2019 07:36;;null
5-8-2019 07:50;20454102;18R;5-8-2019 07:38;C14;ARTIP
5-8-2019 07:50;20454128;18R;5-8-2019 07:39;D44;RIVER
5-8-2019 07:50;20454110;18R;5-8-2019 07:40;D27;ARTIP
5-8-2019 07:50;20454597;27;5-8-2019 07:40;;null
5-8-2019 07:50;20454486;;5-8-2019 07:41;;null
5-8-2019 07:50;20454144;18R;5-8-2019 07:42;D31;SUGOL
5-8-2019 08:05;20454161;18R;5-8-2019 07:44;H01;SUGOL
5-8-2019 07:05;20454493;;5-8-2019 07:45;;null
5-8-2019 08:05;20454098;18R;5-8-2019 07:45;J83;ARTIP
5-8-2019 06:50;20454490;;5-8-2019 07:46;;null
5-8-2019 08:05;20454191;18R;5-8-2019 07:47;G07;SUGOL
5-8-2019 08:05;20454167;18R;5-8-2019 07:49;G06;ARTIP
5-8-2019 08:05;20454559;25;5-8-2019 07:49;;null
5-8-2019 08:05;20454183;21;5-8-2019 07:50;;null
5-8-2019 08:05;20454166;18R;5-8-2019 07:51;E72;SUGOL
5-8-2019 07:50;20454489;;5-8-2019 07:53;;null
5-8-2019 08:05;20454164;18R;5-8-2019 07:53;E19;SUGOL
5-8-2019 08:05;20454146;18R;5-8-2019 07:54;G04;ARTIP
5-8-2019 08:05;20454342;24;5-8-2019 07:56;;null
5-8-2019 08:05;20454201;18R;5-8-2019 07:56;E05;RIVER
5-8-2019 08:20;20454142;18R;5-8-2019 07:58;D12;SUGOL
5-8-2019 08:20;20454200;18R;5-8-2019 08:00;E03;SUGOL
5-8-2019 08:05;20454492;;5-8-2019 08:00;;null
5-8-2019 08:20;20454225;24;5-8-2019 08:01;JA;null
5-8-2019 08:20;20454143;21;5-8-2019 08:02;;null
5-8-2019 08:20;20454154;18R;5-8-2019 08:02;C12;ARTIP
5-8-2019 08:20;20454163;18R;5-8-2019 08:04;D14;SUGOL
5-8-2019 08:20;20454177;23;5-8-2019 08:05;A14;null
5-8-2019 08:20;20454221;18R;5-8-2019 08:05;D41;ARTIP
5-8-2019 08:20;20454217;18R;5-8-2019 08:07;B32;ARTIP
5-8-2019 08:20;20454208;18R;5-8-2019 08:08;E20;SUGOL
5-8-2019 08:20;20454290;21;5-8-2019 08:09;A1;null
5-8-2019 08:20;20454277;18R;5-8-2019 08:10;J84;SUGOL
5-8-2019 08:20;20454176;21;5-8-2019 08:10;;null
5-8-2019 08:20;20454640;28;5-8-2019 08:11;;null
5-8-2019 08:20;20454276;5;5-8-2019 08:13;;null
5-8-2019 08:20;20454198;18R;5-8-2019 08:13;B23;ARTIP
5-8-2019 08:35;20454169;18R;5-8-2019 08:14;H03;SUGOL
5-8-2019 08:35;20454092;18R;5-8-2019 08:16;B13;ARTIP
5-8-2019 08:35;20454226;21;5-8-2019 08:17;;null
5-8-2019 08:35;20454197;18R;5-8-2019 08:17;C08;ARTIP
5-8-2019 08:35;20454209;18R;5-8-2019 08:19;D28;SUGOL
5-8-2019 08:35;20454228;18R;5-8-2019 08:20;B20;RIVER
5-8-2019 08:35;20454386;24;5-8-2019 08:21;;null
5-8-2019 08:35;20454252;18R;5-8-2019 08:22;R77;RIVER
5-8-2019 07:20;20454607;;5-8-2019 08:22;;null
