T_UPDATE;FLIGHT_ID;RUNWAY;TIME;GATE;SID;FLOW_CONTROL_STATE;CTOT
5-8-2019 06:50;20453977;24;5-8-2019 06:32;H02;REN1S;CLEARED;null
5-8-2019 06:50;20454047;24;5-8-2019 06:34;C06;REN1S;CLEARED;5-8-2019 06:33
5-8-2019 06:50;20454048;24;5-8-2019 06:36;A52;KDD1S;CLEARED;null
5-8-2019 06:50;20454053;24;5-8-2019 06:38;B16;REN1S;CLEARED;null
5-8-2019 06:50;20454355;22;5-8-2019 06:39;HG0;;CLEARED;null
5-8-2019 06:50;20454050;24;5-8-2019 06:39;B20;AND1S;CLEARED;null
5-8-2019 06:50;20454076;;5-8-2019 06:40;;;CLEARED;null
5-8-2019 06:50;20454051;24;5-8-2019 06:40;A45;VAL2S;NOT_RESTRICTED;5-8-2019 06:40
5-8-2019 06:50;20454054;24;5-8-2019 06:41;B35;AND1S;CLEARED;null
5-8-2019 06:50;20454049;24;5-8-2019 06:43;C13;BER1S;CLEARED;null
5-8-2019 07:05;20454118;22;5-8-2019 06:45;GD;REN1G;CLEARED;5-8-2019 06:43
5-8-2019 07:05;20454070;24;5-8-2019 06:46;A32;BER1S;CLEARED;null
5-8-2019 07:05;20454087;24;5-8-2019 06:49;A71;VAL2S;CLEARED;null
5-8-2019 07:05;20454140;24;5-8-2019 06:50;E02;BER1S;CLEARED;null
5-8-2019 07:05;20454113;24;5-8-2019 06:52;R81;ARN2S;CLEARED;null
5-8-2019 07:05;20454121;21;5-8-2019 06:56;;EH5;CLEARED;null
5-8-2019 07:05;20454082;24;5-8-2019 06:57;A65;AND1S;CLEARED;null
5-8-2019 07:20;20454086;24;5-8-2019 06:59;H05;REN1S;NOT_RESTRICTED;5-8-2019 06:58
5-8-2019 07:20;20454083;24;5-8-2019 07:00;B28;REN1S;NOT_RESTRICTED;5-8-2019 07:00
5-8-2019 07:20;20454097;21;5-8-2019 07:00;;RON2K;CLEARED;null
5-8-2019 07:20;20454081;24;5-8-2019 07:02;H01;VAL2S;CLEARED;null
5-8-2019 08:35;20454112;28;5-8-2019 07:03;;;CLEARED;null
5-8-2019 07:20;20454103;24;5-8-2019 07:03;C14;KDD1S;NOT_RESTRICTED;5-8-2019 07:03
