T_UPDATE;FLIGHT_ID;SFPL_ID;CALLSIGN;REGISTRATION;OPERATOR;TYPE_OF_TRANSPONDER;SSR;FLIGHT_RULES;FLIGHT_TYPE;T0;ICAO_ACTYPE;WTC;ADEP;DEST;TAS;RFL;NFL;XFL;CFMU_DELAY;CONTROL;STATUS;FPOS_TRACK_ID
12-9-2021 11:35:11;21519632;1481;AMC395;9HNED;AMC;S;115;I;OUTBOUND;12-9-2021 06:50:00;A20N;M;EHAM;LMML;446;370;null;250;0;LOCKED;OBSERVED,CONTROLLED;0
12-9-2021 11:05:12;21519633;1482;KLM773;PHBVV;KLM;L;1117;I;OUTBOUND;12-9-2021 06:50:00;B77W;H;EHAM;TNCB;481;340;null;240;0;LOCKED;OBSERVED,CONTROLLED;0
12-9-2021 11:20:14;21519634;1483;KLM26U;PHEXL;KLM;L;2164;I;INBOUND;12-9-2021 06:51:00;E75L;M;EDDN;EHAM;420;380;260;null;0;null;OBSERVED,CONTROLLED;0
12-9-2021 11:05:14;21519635;1484;UAE9988;A6EFH;UAE;L;3240;I;INBOUND;12-9-2021 06:51:43;B77L;H;KORD;EHAM;485;310;250;null;0;null;OBSERVED,CONTROLLED;0
12-9-2021 11:05:18;21519636;1485;KLM1252;PHEZK;KLM;H;512;I;INBOUND;12-9-2021 06:52:00;E190;M;LFMN;EHAM;446;240;220;null;0;null;OBSERVED,CONTROLLED;0
12-9-2021 11:05:13;21519637;1486;KLM96K;PHBGF;KLM;L;512;I;INBOUND;12-9-2021 06:53:00;B737;M;LIML;EHAM;443;380;260;null;0;null;OBSERVED,CONTROLLED;0
12-9-2021 11:05:15;21519638;1487;ICE500;TFISW;ICE;L;3244;I;INBOUND;12-9-2021 06:53:00;B763;H;BIKF;EHAM;460;390;250;null;0;null;OBSERVED,CONTROLLED;0
12-9-2021 10:50:14;21519639;1488;PCH555;HBFZZ;PCH;L;1512;I;REGIONAL;12-9-2021 06:54:00;PC12;L;LSZC;EHBD;264;180;70;null;0;null;OBSERVED,CONTROLLED;0
12-9-2021 11:20:11;21519640;1489;MAC124;CNNML;MAC;L;1102;I;OUTBOUND;12-9-2021 06:55:00;A320;M;EHAM;GMMW;453;350;null;260;0;LOCKED;OBSERVED,CONTROLLED;0
12-9-2021 11:05:17;21519641;1490;KLM65L;PHEXH;KLM;L;1640;I;OUTBOUND;12-9-2021 06:55:00;E75L;M;EHAM;ENGM;410;370;null;250;0;LOCKED;OBSERVED,CONTROLLED;0
12-9-2021 11:05:15;21519642;1491;PHFVE;null;null;S;null;V;REGIONAL;12-9-2021 06:55:00;SPIT;L;EHEH;EHEH;180;0;null;null;0;null;CONTROLLED;0
12-9-2021 11:20:10;21519643;1492;KLM1271;PHEZF;KLM;H;512;I;OUTBOUND;12-9-2021 06:55:00;E190;M;EHAM;EPWR;448;390;null;290;0;LOCKED;OBSERVED,CONTROLLED;0
12-9-2021 11:35:15;21519644;1493;TRA821H;PHHZW;TRA;L;512;I;OUTBOUND;12-9-2021 06:55:00;B738;M;EHAM;LIBD;444;370;null;250;0;LOCKED;OBSERVED,CONTROLLED;0
12-9-2021 10:50:13;21519645;1494;TRA3R;PHHSB;TRA;L;1122;I;REGIONAL;12-9-2021 06:55:00;B738;M;EHRD;LEBL;431;330;null;190;0;null;OBSERVED,CONTROLLED;0
12-9-2021 10:20:16;21519646;1495;KLM655;PHBHE;KLM;L;1121;I;OUTBOUND;12-9-2021 06:55:34;B789;H;EHAM;KMSP;494;340;null;240;0;LOCKED;OBSERVED,CONTROLLED;0
12-9-2021 11:05:12;21519647;1496;EJU32YJ;OELKQ;EJU;L;512;I;INBOUND;12-9-2021 06:56:00;A319;M;LDDU;EHAM;434;360;260;null;0;null;OBSERVED,CONTROLLED;0
12-9-2021 11:20:11;21519648;1497;KLM14U;PHBXT;KLM;L;512;I;INBOUND;12-9-2021 06:58:01;B739;M;LIRF;EHAM;452;380;260;null;0;null;OBSERVED,CONTROLLED;0
12-9-2021 11:35:13;21519649;1498;TRA6145;PHHXO;TRA;L;1093;I;OUTBOUND;12-9-2021 07:00:01;B738;M;EHAM;LEAL;441;350;null;260;0;LOCKED;OBSERVED,CONTROLLED;0
12-9-2021 14:05:11;21519650;1499;PHKLQ;null;null;S;null;V;REGIONAL;12-9-2021 07:00:01;A210;L;EHLE;EHTX;110;0;null;null;0;null;CONTROLLED;0
12-9-2021 08:20:11;21519651;1500;OEHUB;OEHUB;null;H;null;I;OUTBOUND;12-9-2021 07:00:01;C750;M;EHAM;LGAV;508;410;null;null;0;null;CANCELLED;0
12-9-2021 12:05:11;21519652;1501;TRA32Q;PHHZI;TRA;L;1127;I;OUTBOUND;12-9-2021 07:00:01;B738;M;EHAM;LEIB;447;350;null;260;0;LOCKED;OBSERVED,CONTROLLED;0
12-9-2021 11:20:13;21519653;1502;KLM927;PHEXT;KLM;L;3801;I;OUTBOUND;12-9-2021 07:00:01;E75L;M;EHAM;EGPE;424;360;null;240;0;LOCKED;OBSERVED,CONTROLLED;0
12-9-2021 11:05:14;21519654;1503;AWU712G;DIGWT;AWU;E;512;I;OUTBOUND;12-9-2021 07:00:01;C25A;L;EHAM;LFMN;399;410;null;260;0;LOCKED;OBSERVED,CONTROLLED;0
12-9-2021 11:05:16;21519655;1504;TVS4306;OKTVH;TVS;L;1661;I;REGIONAL;12-9-2021 07:00:01;B738;M;EHRD;LLBG;445;390;null;250;0;null;OBSERVED,CONTROLLED;0
12-9-2021 11:20:14;21519656;1505;BCS5GU;DAZMO;BCS;H;512;I;OUTBOUND;12-9-2021 07:00:01;A306;H;EHAM;EDDP;445;350;null;250;0;LOCKED;OBSERVED,CONTROLLED;0
12-9-2021 09:35:14;21519657;1506;PHGED;null;null;S;null;V;REGIONAL;12-9-2021 07:00:01;AAT3;L;EHLE;EHLE;90;0;null;null;0;null;CANCELLED;0
12-9-2021 11:35:12;21519658;1507;KLM64U;PHBXG;KLM;L;3992;I;INBOUND;12-9-2021 07:01:01;B738;M;EGBB;EHAM;450;230;230;null;0;null;OBSERVED,CONTROLLED;0
12-9-2021 11:05:11;21519659;1508;TRA15H;PHHXF;TRA;L;2792;I;REGIONAL;12-9-2021 07:01:01;B738;M;LEIB;EHEH;447;380;160;null;0;null;OBSERVED,CONTROLLED;0
12-9-2021 10:35:11;21519660;1509;OOVPE;null;null;S;null;V;REGIONAL;12-9-2021 07:01:55;DR40;L;EBAW;EHMZ;110;12;null;null;0;null;null;0
12-9-2021 09:50:13;21519661;1510;DAL135;N807NW;DAL;L;1101;I;OUTBOUND;12-9-2021 07:02:08;A333;H;EHAM;KDTW;470;340;null;240;0;LOCKED;OBSERVED,CONTROLLED;0
12-9-2021 11:35:14;21519662;1511;DAL161;N802NW;DAL;L;1111;I;OUTBOUND;12-9-2021 07:03:00;A333;H;EHAM;KMSP;469;340;null;240;0;LOCKED;OBSERVED,CONTROLLED;0
12-9-2021 11:20:16;21519663;1512;KLM51V;PHEZN;KLM;H;512;I;OUTBOUND;12-9-2021 07:05:00;E190;M;EHAM;LKPR;449;410;null;250;0;LOCKED;OBSERVED,CONTROLLED;0
